cavlc,125,16,91,11,-1,-1,PASS
hd03,29,5,25,4,29,5,PASS
dec,768,3,768,3,-1,-1,PASS
bar,1536,12,1536,12,-1,-1,PASS
hd11,58,18,54,16,53,15,PASS
i2c,853,15,681,10,798,10,PASS
hd09,183,13,150,12,161,11,PASS
hd01,149,6,129,5,149,6,PASS
hd07,23,5,21,4,16,3,PASS
ctrl,107,8,87,5,-1,-1,PASS
hd02,155,6,133,6,155,6,PASS
hd04,50,10,42,8,46,8,PASS
hd08,6,6,5,5,5,5,PASS
hd06,224,7,224,7,224,7,PASS
hd05,224,7,224,7,224,7,PASS
hd10,16,6,15,5,15,5,PASS
router,54,19,34,12,30,11,PASS
cardio,34,10,26,8,30,9,PASS
int2float,66,15,46,8,50,9,PASS
hd12,54,16,51,15,59,15,PASS
dsort,432,9,384,8,384,8,PASS
